Ch1 Amplitude,Ch2 Amplitude,Cluster
211.865875,1811.082,4
237.217163,1811.01892,4
251.183136,1335.50854,4
251.527878,1688.98657,4
252.479248,1622.64124,4
252.642609,1577.08582,4
253.114075,1699.26013,4
258.158722,1669.15356,4
259.284943,1334.44055,4
259.3119,1629.32935,4
259.4149,1586.80737,4
261.5843,1619.88147,4
262.4251,1655.68713,4
262.7071,1564.35669,4
263.083069,1425.06519,4
263.160126,1665.7854,4
263.3797,1450.33618,4
263.692,1571.61047,4
264.1717,1500.21777,4
264.216,1772.99963,4
264.470581,1576.07471,4
265.761047,1478.52319,4
265.8123,1612.39172,4
266.990051,1774.58643,4
267.01532,1354.62109,4
267.2845,1524.77246,4
267.646,1653.40808,4
267.995148,1512.83716,4
268.090179,1835.72864,4
268.901031,1398.96838,4
268.9244,1534.89441,4
269.84845,1409.987,4
270.0201,1321.23657,4
271.0911,1516.62549,4
271.181946,1670.1698,4
271.4688,1691.3075,4
271.588043,1487.21069,4
271.694977,1543.66772,4
272.047424,1564.71667,4
272.2105,468.700134,1
272.220123,892.476,1
272.894226,1601.47937,4
272.976318,1540.51282,4
273.0431,1830.36145,4
273.0874,1456.18555,4
273.430054,1494.12061,4
273.490417,1755.46045,4
273.540283,1730.82483,4
273.577332,1459.478,4
273.682251,1508.86353,4
274.131958,1678.889,4
274.770172,1466.49817,4
274.805817,1671.04712,4
275.121918,1726.50085,4
275.551453,1550.26025,4
275.7263,1611.52881,4
275.770142,1420.28357,4
276.2873,1532.2998,4
276.446777,1702.83875,4
276.4605,1574.59741,4
276.780975,1537.6355,4
277.0835,1533.88452,4
277.152435,1274.77661,4
277.377136,1644.12256,4
277.3928,1524.33521,4
277.408325,1385.30286,4
277.485443,1681.02466,4
277.5554,1490.16943,4
277.641,1497.4137,4
277.675751,1809.17725,4
277.813965,1502.15369,4
278.122467,1495.38269,4
278.215759,1578.75781,4
278.572754,1565.75037,4
278.636749,1450.85608,4
278.643677,514.0041,1
278.713684,1592.48059,4
278.7475,1579.74756,4
278.820129,1376.66724,4
279.0544,1446.66821,4
279.060883,1497.51367,4
279.1416,1455.53662,4
279.299347,1498.74414,4
279.3771,1573.61975,4
279.3935,1505.36133,4
279.4112,1573.99817,4
279.5145,1680.23047,4
279.575134,1408.34277,4
279.8525,1468.68616,4
279.963684,1626.54932,4
280.5594,1662.54712,4
280.672,1535.416,4
280.782532,1465.83777,4
280.930054,1418.35046,4
280.935333,1478.314,4
281.024231,1626.9823,4
281.071259,526.600342,1
281.105865,1800.47583,4
281.119843,1568.115,4
281.128967,1527.66638,4
281.418457,1580.65076,4
281.43457,1594.36255,4
281.5955,1494.99121,4
281.670868,1598.43665,4
281.7557,1497.18408,4
281.940521,1549.01758,4
282.001678,1606.14978,4
282.038177,1619.93433,4
282.128,1681.4552,4
282.2323,1641.00171,4
282.310669,1425.2406,4
282.6488,1680.06238,4
282.712952,1480.01062,4
282.8356,1766.7937,4
282.9701,1480.91553,4
283.050629,1428.4834,4
283.23526,1481.54529,4
283.2712,1548.56714,4
283.3024,1445.65491,4
283.411163,1545.73755,4
283.5676,533.863159,1
283.755219,1537.93176,4
283.854675,1593.875,4
284.257629,1555.10132,4
284.336121,1690.50037,4
284.4287,1114.27173,4
284.505859,1691.90173,4
284.706848,1575.62744,4
284.7153,1522.29614,4
284.870178,1406.12476,4
284.9096,1758.12512,4
284.928253,1440.42407,4
285.036,511.1858,1
285.124664,1557.95752,4
285.487366,1383.42737,4
285.5705,1494.83337,4
285.5727,465.76535,1
285.587738,1702.14465,4
285.5961,1525.118,4
285.6123,1521.78992,4
285.62738,1587.8,4
285.804382,480.272858,1
286.085663,1514.6499,4
286.1732,1496.94934,4
286.254242,1441.65271,4
286.285217,1538.06982,4
286.357361,1281.73181,4
286.4175,1660.41113,4
286.5151,1717.0321,4
286.559875,1644.65112,4
286.6381,414.5371,1
286.6714,1450.1731,4
286.708862,1503.25232,4
286.8336,1399.12231,4
286.836334,1481.35693,4
287.061066,1620.97119,4
287.189972,1453.56226,4
287.1916,1472.315,4
287.271484,1417.1687,4
287.350861,447.1954,1
287.425354,1609.77026,4
287.533051,1383.22937,4
287.5927,1565.51624,4
287.659882,1626.27856,4
287.683838,1590.76257,4
287.697021,1394.57544,4
287.718872,1687.92834,4
287.723083,1658.20007,4
287.755981,1721.13,4
287.7599,1500.66174,4
287.843048,522.3306,1
287.869324,1582.50745,4
287.882446,1462.18823,4
287.891357,1848.54968,4
287.934143,479.9706,1
287.973541,1603.95789,4
287.984375,1553.36829,4
288.167328,1597.08569,4
288.2195,1568.90454,4
288.249054,1434.69,4
288.302,1490.8092,4
288.3165,1515.38159,4
288.418579,1613.01965,4
288.6318,1509.70679,4
288.6512,1531.74048,4
288.77655,442.064,1
288.799927,1447.87061,4
288.809235,1471.18042,4
288.8209,1548.69482,4
288.933441,1531.7063,4
288.952972,1242.19836,4
289.017761,1488.48474,4
289.1006,1686.084,4
289.222,1694.04492,4
289.287262,1542.62268,4
289.307617,436.278351,1
289.3078,1469.26038,4
289.310059,1488.43567,4
289.426575,1557.31812,4
289.526581,1560.96265,4
289.585419,1493.79688,4
289.676453,1575.56775,4
289.68457,1530.13611,4
289.870972,1546.54346,4
289.884064,494.124969,1
289.9971,1478.22119,4
290.015869,1457.47,4
290.025543,1575.86646,4
290.2935,1532.76782,4
290.331543,414.014252,1
290.3989,449.45282,1
290.460815,1496.02722,4
290.565948,1601.08044,4
290.7467,1770.23181,4
290.7734,503.5165,1
290.79306,1546.05981,4
290.793335,1482.83716,4
290.9636,1742.43958,4
290.9838,1448.16565,4
291.017273,1378.63208,4
291.055878,1551.2511,4
291.088226,1327.1687,4
291.0892,472.3665,1
291.1064,1672.46814,4
291.12204,449.697144,1
291.1875,1289.84143,4
291.202881,1529.44324,4
291.2836,1173.35925,4
291.323334,1558.88367,4
291.3473,1415.77,4
291.3907,1518.59229,4
291.4537,1497.76892,4
291.497925,1336.8606,4
291.5317,1672.09766,4
291.601746,1553.75574,4
291.6991,1612.69971,4
291.722229,1466.82092,4
291.776123,417.441132,1
291.8234,1565.68811,4
291.864044,1679.59888,4
291.9711,1639.26343,4
291.972,420.48764,1
291.9775,1682.39319,4
292.0157,1497.2262,4
292.059357,1481.15894,4
292.167084,1538.97729,4
292.290161,1399.27417,4
292.296753,1404.1449,4
292.389526,1491.32117,4
292.416077,1389.01709,4
292.501038,1430.07861,4
292.519073,1476.89758,4
292.6604,1593.582,4
292.780151,1578.524,4
293.0193,1502.00818,4
293.087067,1562.97534,4
293.15448,1432.50037,4
