Ch1 Amplitude,Ch2 Amplitude,Cluster
247.933075,1634.78955,4
250.5608,1540.7124,4
252.21553,1697.756,4
253.790924,1682.38184,4
254.1181,1612.92358,4
254.471146,1669.97058,4
259.243744,1559.09058,4
259.81424,1541.48,4
259.953522,1554.80334,4
259.981079,1813.39526,4
262.629578,1336.10864,4
264.4526,1461.84558,4
264.5733,1685.99976,4
265.1176,1520.49426,4
265.5277,1641.27417,4
266.149231,1596.416,4
266.14975,1618.0957,4
266.4195,1591.8606,4
266.9108,1480.93347,4
266.940979,1519.48486,4
267.1751,1770.983,4
267.5518,1586.80237,4
268.192444,1642.91211,4
269.106232,1555.20288,4
269.6922,1667.05957,4
269.777771,1528.85864,4
270.053223,1626.0365,4
270.212219,1670.01416,4
270.94046,1668.81152,4
271.421783,1477.26318,4
271.495056,1499.397,4
271.5523,1569.99146,4
272.197021,1332.42,4
273.374969,1682.66565,4
273.4598,1532.00183,4
273.899567,1530.13892,4
274.6874,1671.2688,4
274.918671,1455.32312,4
275.049469,1513.82324,4
275.101929,1339.07275,4
275.682434,1726.80286,4
276.184143,1790.42932,4
276.4773,1640.53992,4
276.522949,1557.49548,4
276.596649,1623.60632,4
276.672546,1460.69275,4
277.0656,1719.14124,4
277.2935,1494.21472,4
277.708923,1539.60938,4
277.751251,1641.6665,4
278.4957,1410.09534,4
279.068451,1546.898,4
279.4789,1656.94153,4
279.608215,1462.75659,4
279.949036,1579.0199,4
279.9688,1570.78418,4
280.21524,1505.40161,4
280.489746,1773.90271,4
280.530426,1673.32629,4
280.661469,1725.09424,4
280.6802,1814.48474,4
280.951141,1644.97021,4
281.077362,1572.56213,4
281.332184,1526.17651,4
281.349121,1688.301,4
281.567139,1546.69983,4
281.581238,1536.467,4
281.682068,1587.65247,4
281.773682,1647.43823,4
282.008575,1516.7356,4
282.366882,1614.38391,4
282.385529,1489.23816,4
282.756622,1559.69263,4
283.0711,1811.1261,4
283.2523,1681.83167,4
283.6777,1599.92017,4
283.793518,1505.77832,4
283.832916,1693.48,4
283.88562,1638.387,4
283.8889,1596.19263,4
283.915131,1428.63477,4
283.9837,1575.575,4
284.0986,1382.975,4
284.3403,1711.97278,4
284.369141,1554.61389,4
284.4396,1505.334,4
284.692719,442.065216,1
284.721863,1494.86047,4
284.7546,1601.79248,4
284.792358,1692.09644,4
284.9012,1586.083,4
285.104523,1381.64563,4
285.326141,1548.99609,4
285.357819,1760.69275,4
285.362366,1751.76868,4
285.412,529.4793,1
285.752655,1570.16577,4
285.7895,1678.72144,4
285.935577,1736.553,4
