Ch1 Amplitude,Ch2 Amplitude,Cluster
235.386734,1733.92456,4
245.6148,1755.513,4
245.625961,1648.11792,4
250.899429,1672.17871,4
253.273529,1760.82153,4
253.8033,1580.39307,4
254.608887,1533.32043,4
255.3997,1469.22034,4
255.631378,1495.296,4
256.079865,1527.81836,4
256.1542,1731.64648,4
257.835358,1672.63171,4
258.055817,1471.08923,4
258.784668,1574.77112,4
259.437073,1696.37048,4
259.558319,1510.65894,4
260.658722,1506.11841,4
261.1259,1448.77124,4
262.240265,1373.08142,4
262.822021,1595.55762,4
265.699371,432.5463,1
266.635742,1606.85913,4
267.279846,1629.72839,4
267.297363,1572.29712,4
267.3125,1545.26929,4
268.543335,1517.71582,4
268.6939,1630.03015,4
268.945435,1542.10291,4
269.0626,1553.35254,4
269.714325,457.14856,1
269.817078,1568.46289,4
270.302368,1552.92639,4
270.9894,1679.97644,4
271.12204,1528.77393,4
271.299255,1630.55664,4
271.550873,1675.44946,4
273.4021,1639.65576,4
273.543152,1531.03174,4
273.5996,1516.38611,4
273.942535,1543.6897,4
274.36203,1750.21118,4
274.817078,1645.30737,4
274.8304,1648.18652,4
274.926147,1546.69482,4
275.011322,1488.13928,4
275.026154,1482.0282,4
275.04776,1647.46155,4
275.098633,1387.29431,4
275.446564,1485.32251,4
275.7497,1603.77063,4
275.81073,1692.55554,4
276.395416,1591.31982,4
276.4831,1704.93958,4
276.799683,1612.80286,4
276.943878,1522.76221,4
277.070618,1405.67432,4
277.353027,1673.32166,4
277.677277,1592.407,4
277.79126,1600.2688,4
277.9985,1450.72937,4
278.23053,1520.91626,4
278.39093,1669.047,4
278.415466,1625.07874,4
278.4155,1469.2865,4
278.600067,1377.50977,4
278.629028,1555.15942,4
279.28772,1692.60828,4
279.4396,1655.78564,4
279.7663,1644.45947,4
279.814667,1625.88123,4
279.8182,1455.49341,4
279.823273,1631.14209,4
280.127258,1499.81128,4
280.155884,1516.37976,4
280.2447,1521.42969,4
280.259125,1494.626,4
280.484833,1621.01172,4
280.712677,1502.797,4
280.843872,1646.899,4
280.910583,1591.76257,4
280.916443,1547.63647,4
280.947723,438.4745,1
281.054321,1384.33582,4
281.106537,1489.00659,4
281.146118,1584.988,4
281.205719,1594.2168,4
281.2306,1462.98242,4
281.243225,1435.21924,4
281.4562,1505.68127,4
281.933441,1340.53015,4
282.023743,1695.11768,4
282.6717,488.369629,1
282.911652,1550.19434,4
