Ch1 Amplitude,Ch2 Amplitude,Cluster
234.286438,1588.186,4
246.2422,1557.00232,4
247.642258,1632.92639,4
249.606827,1482.67932,4
254.976059,1415.75146,4
258.2795,1525.387,4
259.23288,1822.65735,4
259.4547,1466.86011,4
260.184357,1690.879,4
260.395355,1507.04187,4
260.844666,1599.8103,4
261.063477,1681.90637,4
261.212463,1545.86951,4
261.516785,1710.05737,4
261.7575,1607.77563,4
262.5753,1611.87891,4
265.670715,1555.52539,4
266.132233,1543.84778,4
266.213867,1687.405,4
266.488861,1583.947,4
266.6098,1502.84436,4
267.019531,1691.46228,4
267.084839,1489.31042,4
267.2655,1436.30347,4
267.436035,1480.75085,4
267.899,1535.23889,4
268.09137,1661.601,4
268.4483,508.861176,1
269.0788,1685.48462,4
269.35202,1496.97632,4
269.373444,1445.92993,4
270.1026,1508.67712,4
270.545715,1519.54871,4
270.9317,1539.70618,4
271.583954,1373.63428,4
271.757751,1534.36023,4
271.779755,1495.85461,4
271.970367,937.562439,1
272.316437,1516.60754,4
272.8119,1448.95313,4
273.13327,423.086853,1
273.255646,1521.59241,4
273.2996,1504.85522,4
273.6062,1626.85339,4
273.707947,1546.76489,4
273.814331,1724.57983,4
274.107819,1416.39417,4
274.4538,1514.25037,4
274.545654,1466.02759,4
274.6566,1486.58459,4
274.742157,1738.85474,4
274.8717,1597.3313,4
274.913879,1579.86072,4
274.9646,1698.68091,4
274.9993,1706.19629,4
275.1001,1568.50928,4
275.176727,1690.34644,4
275.307831,1546.51978,4
275.685883,417.344452,1
275.712555,1597.51843,4
275.950043,1481.41858,4
276.613983,1545.2063,4
276.623047,1529.84863,4
277.090668,1658.00708,4
277.132568,1571.28625,4
277.424316,1607.02185,4
277.496521,1586.36951,4
277.6317,1583.27185,4
277.646637,1528.47864,4
277.8447,418.896545,1
278.0052,489.413849,1
278.0191,540.451965,1
278.106934,1567.80554,4
278.1163,1536.61255,4
278.1346,1614.03394,4
278.280579,1565.14917,4
278.311462,1567.59241,4
278.390381,1465.36658,4
278.391327,476.361084,1
278.435852,1607.14819,4
278.5243,1258.438,4
278.5455,1497.68457,4
278.7583,1553.90088,4
278.822357,1458.4657,4
279.14743,1401.50464,4
279.1627,1700.92334,4
279.2554,1541.74609,4
279.5009,477.691376,1
279.53537,1507.36731,4
279.5442,1498.71765,4
279.561859,479.479523,1
279.6539,1432.93494,4
279.789581,1448.57166,4
279.884766,1482.72192,4
279.9022,1574.42883,4
279.920227,1475.08252,4
280.128082,1398.56348,4
280.2231,1491.51135,4
280.725983,1349.0752,4
280.789948,1401.86523,4
280.801239,1568.77087,4
281.094818,1453.087,4
281.554871,1686.23547,4
281.799133,1396.14758,4
282.062927,1459.02661,4
282.169617,1485.30933,4
282.1899,1520.47375,4
282.210754,1568.10608,4
282.246521,1696.28235,4
282.291718,1463.6864,4
282.395477,1638.704,4
282.48938,480.481049,1
282.500183,1426.69629,4
282.552673,1378.18494,4
282.592377,1123.07166,4
282.766266,1526.77551,4
282.806427,1291.90552,4
282.810272,1568.55566,4
282.87674,1607.84912,4
282.9384,1537.14624,4
282.983368,1703.15222,4
282.986023,1631.58118,4
283.116821,1450.25525,4
283.1926,1697.51184,4
283.515137,1507.647,4
283.530853,1459.70972,4
283.5975,457.349731,1
283.720459,1401.12573,4
283.908844,1654.369,4
283.95993,1677.8927,4
283.96698,1770.83948,4
284.102081,427.107483,1
284.183319,1477.6886,4
284.311462,1606.396,4
284.5233,1498.0199,4
284.6049,1590.65039,4
284.6919,1490.56372,4
284.847351,1608.8241,4
285.103363,1440.53186,4
285.248932,1585.745,4
285.383026,1539.08655,4
285.410858,1491.87012,4
285.475037,1491.09167,4
285.731049,1698.35559,4
285.913544,1479.64685,4
285.949646,1567.665,4
285.9981,1532.93176,4
286.0361,484.078156,1
286.19928,1585.7063,4
286.481567,1498.19067,4
286.51535,1583.17407,4
286.737885,1486.199,4
286.823639,1539.02209,4
286.858856,1674.50366,4
286.966553,1670.181,4
286.98056,1743.66357,4
287.017,1504.98108,4
287.0376,1607.13416,4
287.2362,1553.45544,4
287.448334,499.77002,1
287.4905,457.981323,1
287.6543,1726.30835,4
287.819061,1582.99939,4
287.8269,1655.9563,4
287.8361,1467.55383,4
288.067841,519.9453,1
288.105133,1544.49072,4
288.1144,1751.69946,4
288.1194,1548.98682,4
288.1581,1685.40332,4
288.20636,1831.25916,4
288.343872,1682.74121,4
288.354,1523.51379,4
288.400848,1598.97327,4
288.40918,479.651276,1
288.4582,1555.925,4
288.466217,1547.82434,4
288.4825,1549.90442,4
288.496429,1450.03259,4
288.5357,486.201874,1
288.564575,1582.99634,4
288.6519,1667.54443,4
288.681671,1503.02869,4
288.859161,1427.19934,4
288.897278,433.945618,1
288.9398,1636.41785,4
289.0233,1506.28247,4
289.024139,1546.23035,4
289.0305,460.4547,1
289.224945,1532.48035,4
289.231476,1498.4,4
289.271729,1698.74744,4
289.288666,1572.45691,4
289.3089,1676.53955,4
289.447937,1483.69983,4
289.4482,1372.75122,4
289.526947,1422.5802,4
289.5587,1731.53357,4
289.57605,445.626862,1
289.810242,1726.2821,4
289.8364,1652.04565,4
289.8464,1515.61926,4
289.8528,1699.32336,4
289.9051,1551.94873,4
289.952179,1580.93591,4
289.998383,491.2795,1
290.080475,1542.87915,4
290.13382,478.499878,1
290.135529,1238.23083,4
290.213623,433.197632,1
290.3126,1680.56921,4
290.412567,1687.61609,4
290.46228,1524.80554,4
290.466675,444.433472,1
290.499451,1525.38147,4
290.513519,1213.496,4
290.596344,1719.17639,4
290.877533,1493.96082,4
290.989716,1420.85168,4
290.989929,1661.13574,4
291.0621,1670.26245,4
291.301971,1656.70959,4
291.383759,1926.8208,4
291.510223,1470.24878,4
291.535645,1474.40881,4
291.597351,1507.934,4
291.612274,1525.32654,4
291.676849,1511.7771,4
291.728973,1647.20056,4
291.772125,1664.10632,4
291.80127,1400.36462,4
291.823425,1513.06335,4
291.906281,1677.52368,4
291.95047,1589.02124,4
291.984161,1649.543,4
292.043243,1467.48755,4
292.0872,1668.08215,4
292.093353,1576.91052,4
292.169,1756.62573,4
292.1909,1523.62292,4
292.1946,1472.9917,4
292.214844,1710.2832,4
292.363678,502.672882,1
292.411255,1597.41907,4
292.414764,1402.37769,4
292.499481,1639.71838,4
292.603546,1521.93762,4
292.6716,1497.00867,4
292.680481,1555.95532,4
292.85498,1811.215,4
292.8581,1503.76514,4
292.9637,1391.57117,4
293.009583,1405.345,4
293.154419,1272.72144,4
293.1643,1679.83337,4
293.2409,1708.396,4
293.323059,1525.301,4
293.349182,448.388275,1
293.471222,1222.36816,4
293.513733,1546.58057,4
293.5967,1417.07117,4
293.608765,1551.48621,4
293.75,1423.13879,4
293.774017,1501.4447,4
293.8233,1672.45715,4
293.88443,1356.41919,4
293.9172,1702.95093,4
293.97226,1692.77612,4
293.976349,1533.01367,4
293.996338,1571.36743,4
294.0334,1584.62781,4
294.083862,1531.22131,4
294.0877,1536.89917,4
294.152618,1640.43518,4
294.15564,1580.90027,4
294.2392,558.1151,1
294.254059,1498.10632,4
294.299042,520.308533,1
294.328735,1534.396,4
294.365417,1521.49658,4
294.498871,1866.50513,4
294.562347,1506.45691,4
294.593323,1450.94873,4
294.6482,1554.76477,4
294.6829,1488.99561,4
294.744476,1617.596,4
294.744781,1528.37427,4
294.899139,1438.00879,4
294.906525,1497.53589,4
295.185974,1515.80725,4
295.1935,1536.57031,4
295.2488,485.884277,1
295.2717,1425.82007,4
295.4108,1588.15308,4
295.428619,1475.26074,4
295.464569,1610.44031,4
295.4961,1549.12317,4
295.679871,1488.67578,4
295.700623,1615.94739,4
295.762,1695.72241,4
295.764923,1650.831,4
295.848053,1765.94788,4
295.8538,453.1443,1
295.8592,482.000244,1
295.926971,1455.14661,4
295.933655,1461.24512,4
295.995148,1520.25671,4
296.000427,1702.25049,4
296.008759,1769.07031,4
296.2678,1474.35876,4
296.2934,1491.80261,4
296.346039,1458.23962,4
296.4252,499.025635,1
296.437561,1408.21423,4
296.4402,1606.98254,4
296.514923,458.938049,1
296.559784,1539.63806,4
296.66687,469.7748,1
296.7002,1734.78247,4
296.736053,452.881653,1
296.787659,1497.46436,4
296.843536,1591.52124,4
296.886017,1480.1051,4
297.028534,1584.15979,4
297.167633,1342.82,4
297.189667,1560.80774,4
297.221863,1534.71167,4
297.2713,1452.416,4
297.2835,1647.65015,4
297.283936,1595.96216,4
297.311127,1582.12976,4
297.3231,1566.92822,4
297.329254,1489.28247,4
297.37915,1661.65955,4
297.38028,1300.04053,4
297.403748,437.951752,1
297.439148,514.4972,1
297.472473,1395.64478,4
297.502625,1563.92517,4
297.5171,1513.168,4
297.540253,1579.68787,4
297.605927,1429.31653,4
297.664246,1580.35437,4
297.669281,445.031525,1
297.764862,553.572449,1
297.774567,450.410217,1
297.780731,1547.13062,4
297.7955,1585.59265,4
297.8688,1487.356,4
297.887054,1531.25,4
297.971527,1489.167,4
297.97757,1470.80286,4
298.039032,1430.55164,4
298.0967,1798.85059,4
298.164276,1420.009,4
298.1736,1710.1073,4
298.210358,470.103241,1
298.238159,437.514526,1
298.329071,1486.11047,4
298.370728,1605.825,4
298.3911,1671.33008,4
298.403839,1803.61523,4
298.448242,1476.5072,4
