Ch1 Amplitude,Ch2 Amplitude,Cluster
-191.859467,1616.70532,4
-172.013138,1754.33435,4
241.201279,1485.18262,4
256.4897,478.199371,1
256.896729,435.33017,1
258.200745,1534.0415,4
259.0014,1599.70435,4
261.497864,1527.10742,4
261.812225,1501.48242,4
263.8028,1456.11987,4
266.374176,1561.812,4
267.280579,1597.05542,4
272.706024,1588.53516,4
272.814758,1488.22668,4
273.1358,1621.92371,4
273.491638,516.1167,1
273.578979,1657.8717,4
275.244537,1810.37573,4
277.167175,576.679932,1
277.2734,1511.69043,4
277.29007,1508.19141,4
277.3144,1527.98975,4
277.421417,1576.86182,4
277.851959,1498.00024,4
278.860138,1529.10339,4
279.0375,1511.41833,4
279.0475,1693.59229,4
279.28067,1675.55029,4
279.659454,1522.53845,4
279.6989,1560.95813,4
279.913483,1416.36462,4
280.218,1532.42981,4
281.8037,1595.54822,4
282.344452,442.314758,1
282.4038,1602.92493,4
282.450226,1645.47131,4
282.598267,1652.51758,4
282.8301,1608.73035,4
282.9799,1540.69531,4
283.359741,1521.6062,4
283.512665,1465.01453,4
283.931824,403.143219,1
284.105133,495.1235,1
284.32547,1615.52478,4
284.3904,415.244019,1
284.4195,1306.02771,4
284.7223,520.28125,1
284.856842,1491.01379,4
285.006226,1463.43665,4
285.101868,493.427765,1
285.4117,1413.0542,4
285.540222,516.4916,1
285.543976,507.366333,1
285.565277,474.278717,1
285.748077,1461.41064,4
285.780426,1623.02563,4
285.8058,486.86734,1
286.063019,1461.29529,4
286.074677,1581.97913,4
286.3118,1533.24255,4
286.33493,493.3845,1
286.6155,1504.33289,4
286.688721,1526.39783,4
286.780426,434.865356,1
286.812042,1419.35,4
287.164581,451.902466,1
287.2839,1481.80688,4
287.4592,1420.56592,4
287.559937,1424.29785,4
288.1843,508.8453,1
288.465424,457.463745,1
288.628052,1532.18726,4
288.703827,1482.65845,4
288.926941,1459.93835,4
289.0247,1484.8595,4
289.18454,1566.54834,4
289.19278,1628.51611,4
289.1951,1502.47,4
289.21875,465.4925,1
289.282349,1524.78186,4
289.37912,1558.83789,4
289.480469,1536.8772,4
289.6058,1446.30676,4
289.937469,1555.20032,4
290.0936,1497.27979,4
290.123474,1501.164,4
290.367,1391.13525,4
290.3706,1591.89954,4
290.45462,1414.96033,4
290.774078,469.894165,1
290.805817,1429.43152,4
290.864868,473.5057,1
291.023,411.03125,1
291.026581,1371.97156,4
291.154572,411.112274,1
291.30658,1554.21484,4
291.362427,407.126678,1
291.435547,1539.3064,4
291.529572,1600.99243,4
291.880341,1477.84778,4
292.059631,1339.071,4
292.272125,484.69696,1
292.5328,1614.45215,4
292.685028,1523.60132,4
292.760864,1592.79041,4
292.9323,459.852631,1
293.1787,1501.916,4
293.2672,1517.41956,4
293.437958,495.691772,1
293.570282,461.6924,1
293.615143,1392.96033,4
293.6397,452.4556,1
293.642365,1528.55444,4
293.826965,504.202972,1
293.925171,1598.12024,4
294.33606,1606.81506,4
294.499969,1530.87988,4
294.618622,1476.711,4
294.682343,1507.57251,4
294.6902,1487.24146,4
294.736877,1532.64978,4
294.796753,1430.016,4
294.895081,446.757935,1
294.908081,1476.49939,4
294.942657,1546.26892,4
295.2509,1517.66016,4
295.285065,1613.34387,4
295.30777,484.455017,1
295.40213,1514.81628,4
295.654724,443.3168,1
295.687469,1522.23328,4
295.746063,1522.77039,4
295.750671,464.559662,1
295.80365,1475.98633,4
296.051941,1492.33264,4
296.103851,490.4767,1
296.105682,1559.78308,4
296.166351,1381.09778,4
296.186859,1610.69434,4
296.1886,468.547882,1
296.21698,459.9772,1
296.238342,429.1103,1
296.2538,1528.4325,4
296.299316,1540.91382,4
296.44342,1413.40125,4
296.48526,454.3813,1
296.536133,1526.26563,4
296.57193,530.140869,1
296.730621,468.764,1
296.8525,1475.94324,4
296.921051,1440.967,4
296.9492,1576.846,4
296.9934,1434.945,4
296.9963,445.009827,1
297.009857,1491.17371,4
297.0599,1425.07764,4
297.0963,471.134552,1
297.111328,1557.141,4
297.1428,1578.27332,4
297.347229,1504.82349,4
297.398621,451.08847,1
297.502716,1360.67749,4
297.506042,1679.21838,4
297.638672,1617.89185,4
297.832367,440.349335,1
298.050659,434.229828,1
298.1706,1441.17676,4
298.1867,1453.36,4
298.4463,1496.75281,4
298.4713,1466.45056,4
298.476685,1644.61951,4
298.531067,1565.10278,4
298.557617,1545.532,4
298.692932,1485.69446,4
298.699158,1494.65308,4
298.796265,1486.03174,4
298.853455,455.610962,1
298.923157,452.601471,1
298.9303,429.826355,1
299.007355,467.001282,1
299.029541,1481.95,4
299.0773,468.788239,1
299.1563,1529.66919,4
299.213745,1580.19177,4
299.251068,512.0128,1
299.40274,1512.583,4
299.462555,446.6824,1
299.5195,1514.67749,4
299.536835,470.748016,1
299.541748,456.516479,1
299.6218,461.482574,1
299.650543,1555.04419,4
299.708038,1696.28992,4
299.7109,467.703918,1
299.785248,1643.607,4
299.816162,1516.63806,4
299.8478,1437.12927,4
299.921082,470.186584,1
300.089478,1505.93823,4
300.133057,433.97995,1
300.2845,1637.74341,4
300.404419,1483.914,4
300.411346,1695.58276,4
300.560242,455.410828,1
300.570038,1673.09692,4
300.62677,1326.02,4
300.752472,394.479645,1
300.838165,1594.22876,4
300.896576,453.350861,1
300.940369,414.30423,1
301.03183,414.603516,1
301.078064,1614.12781,4
301.092,1553.18176,4
301.213348,1389.9436,4
301.2476,1474.46924,4
301.361176,1566.08228,4
301.366241,1618.35645,4
301.53775,464.743256,1
301.6649,1406.52039,4
301.706848,1392.4386,4
301.755737,1443.974,4
301.990967,443.0664,1
302.0462,422.5726,1
302.071381,1524.40686,4
302.11142,1455.15686,4
302.2634,456.6388,1
302.273071,1420.74768,4
302.342,1530.01367,4
302.345673,450.8848,1
302.349976,1630.5011,4
302.36792,1611.24817,4
302.4397,498.1497,1
302.446564,1275.04639,4
302.4663,1441.484,4
302.475342,1479.65173,4
302.5689,1643.8009,4
302.584167,1623.03174,4
302.601685,1458.70386,4
302.612579,500.726,1
302.706757,1478.09741,4
302.771942,447.2149,1
302.8083,404.694946,1
302.829285,1428.11584,4
302.859253,440.6344,1
303.048981,422.827545,1
303.259918,1538.0647,4
303.424774,1555.08435,4
303.433472,1578.41431,4
303.4383,1426.23193,4
303.505646,1486.10486,4
303.637268,1512.57312,4
303.68927,1429.954,4
303.794769,489.484253,1
303.800934,1529.72253,4
303.847382,1455.5177,4
303.851868,465.572021,1
303.903839,1583.15564,4
303.917664,1595.21753,4
303.9682,1511.09045,4
303.972961,1506.98083,4
304.046356,524.9334,1
304.07196,459.844116,1
304.12738,1468.17285,4
304.1583,1522.04114,4
304.2317,1582.56079,4
304.275116,1584.35645,4
304.27948,388.386627,1
304.290283,474.284729,1
304.326935,502.654449,1
304.358063,459.987579,1
304.389252,1569.7074,4
304.4187,1669.78015,4
304.4404,1562.94714,4
304.50943,502.662933,1
304.532623,1511.27734,4
304.647522,525.1082,1
304.65274,1519.74158,4
304.7319,1553.4552,4
304.73407,1499.5033,4
304.74823,1623.7832,4
304.777527,1689.94507,4
304.778717,446.256165,1
304.904633,1439.327,4
304.906342,1524.60571,4
304.954163,445.685516,1
304.966339,1504.09277,4
305.026337,1477.065,4
305.068817,1380.65271,4
305.1176,1476.21692,4
305.2501,1468.541,4
305.447021,1578.94714,4
305.482727,485.992,1
305.51767,1540.65259,4
305.535065,1559.32275,4
305.572754,1518.235,4
305.630554,1454.90393,4
305.769165,1504.00281,4
305.797729,516.7713,1
