Ch1 Amplitude,Ch2 Amplitude,Cluster
242.241653,1621.71252,4
250.8221,1473.63953,4
255.0337,1682.46069,4
257.321655,1620.68262,4
259.255859,1448.28418,4
259.3123,1595.17639,4
259.481842,1484.72412,4
262.261475,1742.43359,4
262.290039,1600.838,4
263.387817,1502.17029,4
263.8072,1497.78271,4
264.8204,1136.55884,4
265.0251,1599.7981,4
265.054474,1493.73755,4
265.3886,1616.5907,4
266.183472,1480.57751,4
266.398224,1537.3136,4
266.7691,1638.99268,4
266.790466,1438.251,4
267.542847,1774.4613,4
268.095734,1418.76489,4
268.372681,1484.35815,4
268.7817,1635.41357,4
268.810638,1492.97815,4
268.877045,1566.44775,4
269.042358,1618.51965,4
269.065948,1552.46338,4
269.7753,1605.64209,4
270.63916,1686.7583,4
270.6577,536.5175,1
270.717346,1480.5946,4
270.751923,1549.79919,4
270.796967,1480.464,4
270.978027,1465.36975,4
271.369476,1550.62048,4
272.65036,1596.23572,4
272.745758,1630.43774,4
273.0115,1419.072,4
273.665161,1753.614,4
273.8659,1636.39465,4
274.728119,1528.53735,4
274.90744,1517.50647,4
274.958344,1523.75952,4
275.416229,1555.94263,4
275.449463,1599.63684,4
275.663025,1536.587,4
275.805145,1511.07324,4
275.91214,1595.3634,4
275.957123,1459.76965,4
276.207062,489.98172,1
276.240234,1513.41882,4
276.288,1671.57227,4
276.430267,1445.05847,4
276.591217,1656.894,4
276.6486,1583.74536,4
276.6691,1765.38281,4
276.908356,1499.20239,4
277.16098,1744.044,4
277.1978,1602.46,4
277.390717,1261.88953,4
277.5663,1571.19507,4
277.734344,1587.5116,4
277.8013,1442.68738,4
277.9772,1526.2301,4
278.095123,1430.6687,4
278.16983,1328.57544,4
278.170227,1479.58057,4
278.4173,1216.36389,4
278.94635,1562.40784,4
278.949432,1402.86353,4
279.0633,1722.03,4
279.108337,1545.613,4
279.131,1640.1499,4
279.2489,1564.14685,4
279.415,1561.80188,4
279.485565,1433.48108,4
279.7332,1428.1637,4
279.7785,1697.61243,4
279.7845,1677.27344,4
280.026917,1489.09338,4
280.0798,1583.03235,4
280.2623,1570.76111,4
280.29245,1543.037,4
280.480774,1535.69324,4
280.638031,1568.01147,4
280.8537,1593.4104,4
280.961975,431.289856,1
280.997772,1379.94836,4
281.21347,1528.28308,4
281.326721,1502.11365,4
281.350922,1618.63232,4
281.656738,1466.63538,4
281.908783,1532.07324,4
282.130768,458.8235,1
282.229218,1558.24341,4
282.235138,1472.79541,4
282.304871,1457.99817,4
282.325623,1552.7915,4
282.33374,378.10614,1
282.4554,1451.35791,4
282.736938,1550.40771,4
282.770081,1568.87976,4
282.8034,1725.88708,4
282.897949,1416.84717,4
283.0217,1679.74756,4
283.157349,331.3361,1
283.387665,1626.86121,4
283.6882,1550.13074,4
283.8584,1486.55,4
283.931732,1647.54883,4
283.9359,1430.04712,4
284.019775,1543.99133,4
284.020752,1620.84668,4
284.152252,1484.303,4
284.253876,1501.74829,4
284.281982,1603.63647,4
284.413879,1646.20337,4
284.433868,456.576477,1
284.4463,1362.81885,4
284.649353,1650.168,4
284.721161,1594.86719,4
284.762634,1656.46973,4
284.835083,1420.61035,4
284.8924,1614.53711,4
284.897675,1652.89441,4
285.006134,1490.37646,4
285.099243,1645.85632,4
285.119019,1516.3562,4
285.409149,1551.77014,4
285.427124,1728.74158,4
285.6344,1601.68555,4
