Ch1 Amplitude,Ch2 Amplitude,Cluster
221.425369,1638.22217,4
233.172974,1505.68481,4
233.408112,1560.68872,4
234.146149,1559.91125,4
237.096878,1611.0426,4
238.312485,1785.04529,4
239.901489,1699.99573,4
241.052292,1521.12585,4
243.084641,1519.90527,4
243.160568,1501.24072,4
243.340546,1567.86316,4
246.421341,336.722046,1
247.811508,1509.57,4
248.674561,1561.25842,4
250.025757,515.6916,1
250.627975,355.043518,1
250.6522,1717.70557,4
250.817734,470.717743,1
251.3167,1618.76831,4
252.014465,1762.84851,4
252.9329,1679.46875,4
254.904,1586.67139,4
255.531982,1916.90894,4
255.577744,1412.29053,4
255.949524,1721.54651,4
256.962616,1554.3501,4
257.151947,479.097321,1
257.44812,1520.90149,4
257.6779,1505.28748,4
257.7205,1554.84827,4
257.7452,1491.3186,4
257.992584,1441.12842,4
258.697327,1520.62561,4
259.681274,1589.13916,4
260.180939,1437.46582,4
260.541321,1658.54712,4
261.04953,451.030243,1
261.234344,1535.129,4
261.2598,464.0457,1
261.331726,1492.649,4
261.498169,1617.51282,4
261.729858,1603.48889,4
261.935272,1368.59241,4
262.0242,1579.82471,4
262.1884,1532.13245,4
262.651947,1601.31458,4
263.7649,1803.50439,4
263.8837,1573.23486,4
264.222046,1404.27014,4
264.320374,1722.31934,4
264.56604,1705.391,4
265.073639,1468.61047,4
265.483246,1550.67834,4
265.8352,1612.50452,4
266.0902,1343.30566,4
266.13504,1710.1,4
266.278839,1411.45215,4
266.709045,1576.2655,4
267.170563,1713.94775,4
267.2855,1565.69775,4
267.779419,1487.72131,4
267.868134,1349.61853,4
268.115051,1606.95886,4
268.123535,1509.70691,4
268.129242,1512.8158,4
268.267334,1523.9718,4
268.704254,1540.05078,4
269.2058,1532.955,4
269.298676,502.0769,1
269.41217,553.799744,1
269.579865,1447.021,4
269.775421,1649.33484,4
269.859253,1417.67261,4
270.54715,1535.67029,4
270.596,1557.66174,4
270.607178,1577.31531,4
271.0107,498.4259,1
271.01297,1775.83411,4
271.0232,450.62973,1
271.152924,1708.96692,4
271.255463,1438.99036,4
271.451782,1457.77417,4
271.6937,1480.67371,4
271.847565,1803.0271,4
272.239563,1728.7345,4
272.277374,1372.47278,4
272.4136,1731.1322,4
272.5338,470.2457,1
272.59967,1539.20068,4
272.784241,1449.2749,4
272.8206,456.1878,1
272.850281,1483.43384,4
273.0333,1590.24146,4
273.1989,1517.12537,4
273.494171,1350.13818,4
273.637756,1689.54272,4
273.6976,1530.02014,4
273.7971,1611.26074,4
273.888672,512.3648,1
273.9431,1540.04565,4
274.05542,1698.57532,4
274.075043,1602.26489,4
274.3217,1497.2334,4
274.38736,1523.89893,4
274.425476,1716.82483,4
274.4423,1615.62915,4
274.595947,1642.649,4
274.696228,1540.7334,4
274.841339,1606.70422,4
274.850769,1433.097,4
274.9502,1467.31885,4
274.959167,1524.56213,4
275.0014,1678.3175,4
275.4537,1582.15662,4
275.888031,1806.55457,4
276.087067,1600.93042,4
276.369446,1505.6897,4
276.6926,1730.49341,4
276.868225,1713.69507,4
277.0828,1646.37622,4
277.193268,484.282837,1
277.380676,1504.34448,4
277.4031,1498.30371,4
277.4146,1542.043,4
277.592316,1592.07227,4
277.680817,1530.88232,4
277.7829,1589.84192,4
277.8638,1497.03589,4
277.889648,1520.61243,4
278.203827,1538.84082,4
278.244781,1505.64124,4
278.255676,1501.6571,4
278.376617,1770.50635,4
278.55014,459.6992,1
278.559021,472.668823,1
278.915131,1460.942,4
278.989044,1773.4989,4
279.055817,1634.27332,4
279.110474,1574.08228,4
279.277,1516.95837,4
279.299469,1682.03052,4
279.432922,511.211517,1
279.495819,1575.53931,4
279.5064,1751.84753,4
280.118835,1550.00513,4
280.2331,1592.36926,4
280.359467,1468.02454,4
280.401184,1516.24744,4
280.4215,451.113678,1
280.545,1465.00574,4
280.770782,1558.0459,4
281.03653,1796.88953,4
281.098328,1629.323,4
281.307251,1649.02808,4
281.317657,1615.19507,4
281.3367,471.174957,1
281.363739,1531.75842,4
281.386841,1512.2373,4
281.387146,1702.89233,4
281.3998,1416.49646,4
281.5158,1640.6637,4
281.531952,1576.9895,4
281.543335,544.1057,1
281.660828,1488.09045,4
281.781342,455.889526,1
281.999451,1537.58838,4
282.1538,1612.38806,4
282.261566,1550.21851,4
282.4259,1524.7738,4
282.515228,1514.208,4
282.690674,1450.93311,4
282.81308,1365.84778,4
282.82428,1754.67517,4
282.847534,1530.9314,4
282.870422,1464.51672,4
282.9449,1685.90393,4
282.9921,485.600769,1
283.0187,1550.48279,4
283.0335,1723.46094,4
283.049225,1467.30176,4
283.272064,1671.19275,4
283.27478,1740.48645,4
283.3323,1731.45227,4
283.393829,477.593628,1
283.436462,1539.33752,4
283.6677,1690.48535,4
283.7421,1557.34009,4
283.7605,1506.51477,4
283.8809,1461.17212,4
283.926727,1561.29077,4
283.940674,437.778381,1
284.004364,443.724579,1
284.0273,449.225433,1
284.12616,451.53,1
284.136078,1788.43469,4
284.20105,1540.95154,4
284.2134,1504.2821,4
284.342224,1616.56726,4
284.346252,1390.04541,4
284.3834,1708.947,4
284.389252,430.203857,1
284.432,1530.58069,4
284.536682,490.9835,1
284.680359,1614.23389,4
284.723236,1589.1676,4
284.786224,1514.21179,4
285.142181,1709.95984,4
285.191162,1578.99377,4
285.220154,1696.212,4
285.242218,1506.69421,4
285.2717,1441.65784,4
285.3129,1498.727,4
285.371643,1575.48523,4
285.434784,1603.13318,4
285.639618,1576.64722,4
285.6595,1622.36182,4
285.824554,1625.47754,4
285.835754,500.800385,1
285.980835,1621.52051,4
286.0172,364.061432,1
286.2705,1606.73254,4
286.3907,1511.08826,4
286.458832,1522.38074,4
286.6626,1638.29968,4
286.7706,1528.96008,4
286.840424,1468.95752,4
