Ch1 Amplitude,Ch2 Amplitude,Cluster
235.135391,1524.42957,4
245.6936,1493.60046,4
256.4245,1693.963,4
257.301025,1626.76257,4
258.649353,1514.89844,4
261.123,1764.65686,4
261.34433,1532.64465,4
261.706665,1634.46448,4
262.685028,1605.35144,4
265.4658,1680.64929,4
265.807373,1624.46509,4
266.002,1719.35645,4
266.266418,1582.07214,4
266.933228,1427.63892,4
267.315918,1659.85266,4
269.301117,1601.38953,4
269.3854,1511.14478,4
269.5638,1706.93945,4
270.3487,1533.29651,4
270.91272,1562.60754,4
270.917633,1480.16821,4
271.276184,1555.4082,4
271.2858,1603.41931,4
271.6044,1790.743,4
271.619019,1519.57288,4
272.350922,1640.49683,4
272.962463,1647.73267,4
273.091431,1550.109,4
273.163818,1566.43494,4
273.372864,1738.647,4
273.624817,1526.03748,4
274.334717,1546.39417,4
274.553436,1844.338,4
274.657623,1535.80664,4
274.760956,1550.84619,4
275.39035,1476.67847,4
275.400055,1505.128,4
276.157654,1472.11218,4
276.858124,1371.92334,4
276.9569,1598.455,4
277.03717,1514.93,4
277.136627,1714.3374,4
277.1923,1684.654,4
278.614471,1646.40674,4
278.776062,1450.0304,4
279.3266,1474.32422,4
279.597137,1521.66663,4
279.933167,1607.12024,4
280.021423,1535.85779,4
280.423035,1667.254,4
280.522736,1186.70337,4
281.279541,1489.219,4
281.296478,1471.2478,4
281.351959,1743.77332,4
282.212921,1412.57117,4
282.239563,1626.70837,4
282.274323,1567.77917,4
282.691223,1604.39111,4
282.744446,1533.00952,4
283.390778,1567.5874,4
283.7754,1694.135,4
283.878418,1451.58411,4
283.880737,1538.13391,4
284.055176,1690.21484,4
284.061554,1642.71692,4
284.2281,1470.17676,4
284.235229,1609.83582,4
284.241669,524.239746,1
284.449921,1605.08069,4
284.5441,1449.86877,4
284.56427,1533.24512,4
284.576,1614.67139,4
284.933319,1809.544,4
285.032837,1512.78308,4
286.084839,497.337219,1
286.202057,1562.69373,4
286.441772,1641.56445,4
286.602936,1512.115,4
286.7896,1422.55493,4
286.9081,1586.47485,4
287.0849,1767.70459,4
287.179,1542.93945,4
287.319916,457.437531,1
