Ch1 Amplitude,Ch2 Amplitude,Cluster
219.432465,1623.22363,4
230.598,1482.12915,4
234.709274,1895.08777,4
236.108612,1674.32422,4
238.271454,1504.71191,4
240.0455,1676.15466,4
241.2032,1682.92578,4
241.792709,1725.054,4
242.9477,1777.86816,4
243.667374,1587.29529,4
245.758041,1619.19714,4
246.411667,1735.52808,4
246.979675,1720.06653,4
249.247543,1597.00818,4
249.871429,1482.52771,4
250.033936,1624.12024,4
250.448639,1711.41663,4
250.871155,1503.23352,4
253.60907,1577.29053,4
255.138382,1506.09631,4
255.31778,1719.22791,4
255.379,1564.85022,4
255.522491,1591.51721,4
255.9881,1594.99646,4
256.4499,1667.679,4
256.8452,1710.61951,4
256.9161,1543.25513,4
256.9708,1644.45386,4
257.3438,1673.8252,4
258.27478,1715.17517,4
258.323883,1772.98132,4
258.3629,1556.53674,4
258.4648,1483.30347,4
258.654175,1454.41553,4
258.843048,1667.51929,4
258.9505,1590.18591,4
260.229767,1399.15491,4
260.2789,1545.9718,4
260.611145,1590.44824,4
260.645,1614.91138,4
260.732574,1569.15747,4
260.934082,1523.41968,4
261.771973,1467.80664,4
262.640625,1581.04529,4
263.0781,1567.87915,4
263.095673,1548.68066,4
263.435822,1784.50427,4
263.473572,1843.27686,4
263.5661,1579.58972,4
264.0167,1737.89478,4
264.047546,1509.88269,4
264.470276,1554.85571,4
264.544,1641.35913,4
264.60675,1811.48,4
264.727783,1603.233,4
265.097656,1561.84033,4
265.149078,1550.61511,4
265.516632,536.269958,1
265.609375,478.045929,1
265.7413,1575.45117,4
265.903351,1690.05652,4
266.2469,1750.33862,4
266.310059,1561.51624,4
266.433472,1543.09351,4
266.5779,1755.99036,4
266.669434,1481.07886,4
267.0481,1598.95508,4
267.218384,1763.11841,4
267.256927,1399.40088,4
267.5866,1596.76843,4
268.107,420.374084,1
268.162323,1581.81421,4
268.1742,1594.31873,4
268.2233,1609.02747,4
268.228455,1633.52026,4
268.3623,1619.29968,4
268.603546,1648.14587,4
268.6606,1692.37854,4
269.31778,1517.84558,4
269.367523,1669.873,4
269.395844,1618.32581,4
269.4558,1743.9696,4
269.473053,1553.19641,4
269.5731,1392.43469,4
270.203949,1564.15234,4
270.406342,1750.76709,4
270.420135,1717.95386,4
270.430176,1576.91406,4
270.4673,1610.56372,4
270.6658,1487.67493,4
270.8371,1583.37354,4
271.100464,522.3874,1
271.327362,1209.63623,4
271.5879,1637.47253,4
271.671265,1670.783,4
271.677521,1549.6842,4
271.6897,1765.98022,4
271.871429,1583.45374,4
271.924438,1565.41638,4
272.017517,1554.22522,4
272.017548,1564.1134,4
272.115631,1700.98145,4
272.210876,1585.33447,4
272.496368,1476.3064,4
272.6967,1501.33423,4
273.0239,1463.56262,4
273.183441,505.8,1
273.415344,1589.36255,4
273.5964,1754.36267,4
273.663818,1571.50269,4
273.7537,1762.098,4
273.837372,1607.575,4
273.924866,1707.05969,4
273.954346,1575.3739,4
274.004761,1836.01624,4
274.075348,502.613983,1
274.282135,1775.35193,4
274.505737,486.271271,1
275.203278,1748.5061,4
275.329865,1657.33289,4
275.3499,1508.09692,4
275.494537,1526.00964,4
275.662048,1580.949,4
275.728973,1722.32886,4
275.824738,1519.27991,4
275.840149,1725.87439,4
276.304077,1538.52087,4
276.358063,1639.66406,4
276.676147,1674.88916,4
276.711,1593.05029,4
276.711639,1438.83167,4
276.7291,1557.84473,4
276.8274,1613.33569,4
276.919678,1846.67639,4
276.97467,1563.11218,4
276.975433,1685.43286,4
277.15863,1652.79846,4
277.371918,1478.44617,4
277.518219,1474.39832,4
277.6125,1764.1908,4
277.654266,1746.27759,4
277.80835,1814.05469,4
277.881378,1647.71155,4
277.9313,1589.17139,4
277.951721,1752.04358,4
277.955841,1611.41284,4
278.124542,1565.46875,4
278.231659,1551.04346,4
278.391327,1634.36182,4
278.529449,1656.49353,4
278.539948,1568.846,4
278.5435,1705.14307,4
278.742035,1664.63159,4
278.760284,543.18,1
278.777863,1545.839,4
278.850037,1683.07886,4
279.111816,1558.33984,4
279.128937,1578.18665,4
279.207031,1687.85645,4
279.229736,1522.97888,4
279.250763,1530.4812,4
279.253784,1489.73059,4
279.581329,1427.67932,4
279.704346,1401.30432,4
279.7975,1600.79126,4
279.807861,1681.37415,4
279.844574,1522.0343,4
279.920532,496.151459,1
279.986,1626.31323,4
280.2446,1607.9115,4
280.2532,1499.67163,4
280.2604,1709.55017,4
280.581665,1665.96167,4
280.6882,1509.28857,4
280.7355,1691.4801,4
281.0069,1658.62134,4
281.130737,1472.33459,4
281.34,1835.53711,4
