Ch1 Amplitude,Ch2 Amplitude,Cluster
256.3558,465.473633,1
258.954163,1481.98181,4
269.330322,1529.44763,4
270.166382,485.806458,1
270.2463,452.67804,1
273.0764,510.0362,1
274.638123,1606.24536,4
274.733643,461.773956,1
274.880524,1439.9093,4
275.392883,456.179871,1
277.99765,449.712,1
279.3058,1602.9812,4
279.947479,1517.91113,4
279.9622,1440.08618,4
282.934265,1457.6178,4
283.291,465.519226,1
283.4856,1422.542,4
284.088684,1472.32886,4
284.373627,507.063934,1
284.4104,1540.8147,4
285.134918,1573.944,4
285.16272,1581.61328,4
285.320465,492.35083,1
285.420166,1453.77942,4
286.03244,1627.63672,4
286.057037,457.270416,1
286.1257,516.942,1
286.515564,1538.70862,4
286.8536,1428.07239,4
287.67453,1490.465,4
287.83194,531.9327,1
288.0292,1510.755,4
288.7802,1513.26807,4
288.897675,440.1327,1
289.0182,1516.78845,4
289.3586,494.515259,1
290.4322,462.9928,1
290.6725,1481.47693,4
290.819763,1384.5033,4
291.3551,1456.7229,4
291.4327,1525.43591,4
291.885529,1623.33081,4
292.012238,453.872345,1
292.4919,486.678741,1
292.9662,488.836761,1
293.076874,1485.6449,4
293.6056,561.9886,1
293.61145,1603.71619,4
294.07428,452.270844,1
294.280884,1400.35852,4
294.610626,519.555542,1
294.627838,1548.16785,4
294.6948,1578.38428,4
294.738617,1639.26819,4
295.089966,1472.216,4
295.1021,524.3188,1
295.248383,1612.93665,4
295.3637,1471.6626,4
295.468719,492.156433,1
295.651123,1502.96924,4
295.72464,1395.18958,4
295.777557,501.530579,1
295.967255,1447.306,4
296.067474,1462.93652,4
296.1124,490.730774,1
296.116669,1532.99817,4
296.162323,1531.89246,4
296.252747,486.145355,1
296.8309,1409.75708,4
296.837158,503.287445,1
296.930145,1543.05908,4
297.087433,490.356659,1
297.209839,431.58493,1
297.368744,1502.34875,4
297.526917,503.824219,1
297.597076,1654.71729,4
297.6063,1553.38269,4
297.621246,499.646057,1
297.62915,1540.71375,4
297.692078,1532.64709,4
297.70813,1573.84167,4
297.7899,1534.55408,4
298.357483,1579.40662,4
298.359222,467.772919,1
298.481659,1740.52954,4
298.561249,494.7429,1
298.5947,476.211548,1
298.595917,1458.96777,4
298.88327,1548.3125,4
298.952148,1495.27869,4
298.983337,1550.4292,4
299.068817,1571.6521,4
299.112885,1510.44482,4
299.218719,466.455566,1
299.224976,1605.82861,4
299.362183,1577.01453,4
299.708466,415.919739,1
300.0004,1441.86072,4
300.235321,1411.892,4
300.3629,509.72522,1
300.364319,1505.92346,4
300.406982,1498.42822,4
300.6641,1573.29639,4
300.7344,1556.39978,4
301.03894,422.436951,1
301.08017,501.3731,1
301.204346,1574.45386,4
301.309448,1569.67456,4
301.424744,1482.23926,4
301.4477,1488.50549,4
301.4979,1453.73181,4
301.72403,415.9248,1
302.010559,501.3557,1
302.011963,1576.75671,4
302.072174,1623.97388,4
302.097931,471.6724,1
302.167328,1511.15955,4
302.180359,1643.22607,4
302.1908,1687.38831,4
302.283081,471.902283,1
302.4414,1629.054,4
302.443634,426.065857,1
302.792236,1490.49463,4
303.138275,1466.1156,4
303.3625,1638.03882,4
303.36377,436.8287,1
303.4084,1494.26221,4
303.4278,429.703766,1
303.4918,473.793549,1
303.650146,1620.019,4
303.865234,1386.96387,4
303.866577,453.284821,1
303.973236,1481.1283,4
303.9888,520.722839,1
304.236633,482.263,1
304.311859,474.2064,1
304.360046,420.223938,1
304.3852,468.755676,1
304.386139,408.707062,1
